Title,Subtitle,Author,Publisher,Publishing Date,Price,Rating,Review Count,Sales Index,Link
LUVIT♥ 파이썬으로 만드는 초경량 한국어 LLM 챗봇,구글 코랩으로 실습하는 데이터 분석 + 챗봇 + LLM,"김규석, 서예진, 정태양",제이펍,2026년 01월,"25,200",0.0,0,1260,https://www.yes24.com/product/goods/170374556
소프트웨어 아키텍처 The Basics,모던 엔지니어링을 위한 소프트웨어 아키텍처의 모든 것,"마크 리처즈, 닐 포드/류광, 307번역랩 역",한빛미디어,2025년 11월,"38,700",9.8,13,1776,https://www.yes24.com/product/goods/167431026
크리핵티브의 한 권으로 끝내는 웹 해킹 바이블,SQL 인젝션부터 시큐어 코딩까지 이론과 실습으로 익히는 완벽 웹 해킹 가이드,하동민(크리핵티브),한빛미디어,2025년 10월,"54,000",9.9,28,2307,https://www.yes24.com/product/goods/154076881
AI로 7일 만에 사업 시작하기,,김다솔,길벗,2025년 06월,"19,800",9.2,51,7410,https://www.yes24.com/product/goods/146828776
개발자를 위한 필수 수학,기초 수학으로 시작하는 데이터 과학 첫걸음,토머스 닐드/박해선 역,한빛미디어,2024년 06월,"27,000",9.7,36,6663,https://www.yes24.com/product/goods/126804246
선생님을 위한 캔바 수업 활용,"캔바 A to Z, 수업 자료 만들기, 협업 수업과 평가, 에듀테크 활용 수업, 캔바 AI 수업 활용법",김민주,앤써북,2025년 05월,"16,920",10.0,15,6864,https://www.yes24.com/product/goods/146043037
Clean Code 클린 코드,애자일 소프트웨어 장인 정신,"로버트 C. 마틴/박재호, 이해영 역",인사이트(insight),2013년 12월,"29,700",9.5,101,7593,https://www.yes24.com/product/goods/11681152
질문으로 답을 찾는 인공지능 윤리 수업,재미있는 이야기로 풀어낸 에피소드 X 탐구 질문,박형빈,한언,2025년 04월,"18,900",9.8,11,4515,https://www.yes24.com/product/goods/144979816
비전공자를 위한 이해할 수 있는 IT 지식,IT시대의 필수 교양서,최원영,티더블유아이지,2020년 07월,"15,120",8.8,170,5754,https://www.yes24.com/product/goods/91165789
[독서모임] 『2026 AI 교육 트렌드』 저자 7인 강연회,,"박소이
,                                     
오유나
,                                     
유영걸
,                                     
김영준
,                                     
김정환



정보 더 보기/감추기





박소이



오유나



유영걸



김영준



김정환



정나래



한창훈",길벗,2025년 12월,"5,000",0.0,0,2061,https://www.yes24.com/product/goods/167882567
